"watch_id","date_time_iso","date_","time_","year_date","month_date","day_date","hour_time","day_of_week","title","video_URL","channel_name","channel_url","video_status","is_available","video_length_str","video_length_secs"
1132,"2022-09-22 02:51:46.136","2022-09-22","02:51:46.136000",2022,9,22,2,3,Freestyle Skateboarding - Fingerflip from Tailstop #skateboarding,https://www.youtube.com/watch?v=2ZjqjdBkcdI,Stewart Storrar ,https://www.youtube.com/channel/UC6tpnuo4Ek8X1sd8nf089iA,Available,1,"00:00:09","9"
1133,"2022-09-22 02:50:32.337","2022-09-22","02:50:32.337000",2022,9,22,2,3,Joe Rogan Polar Bear Story #shorts #flagrant #joerogan,https://www.youtube.com/watch?v=9Dgedv5Zwns,Not Leo Tolstoy,https://www.youtube.com/channel/UC9XEx6RuGicNoH3ZtYWXeeA,Available,1,"00:00:59","59"
1134,"2022-09-22 02:49:47.535","2022-09-22","02:49:47.535000",2022,9,22,2,3,https://www.youtube.com/watch?v=k4T3diMwW8s,https://www.youtube.com/watch?v=k4T3diMwW8s,"","",Unavailable,0,NOT FOUND,-1
1135,"2022-09-22 02:47:52.994","2022-09-22","02:47:52.994000",2022,9,22,2,3,First Day At School In America #shorts #joerogan,https://www.youtube.com/watch?v=Z03tAPpZLAo,Clipaholic,https://www.youtube.com/channel/UCNnMjCmOu-OgP0BymL2yAeQ,Available,1,"00:01:00","60"
1136,"2022-09-22 02:46:56.058","2022-09-22","02:46:56.058000",2022,9,22,2,3,Joe Rogan everything wrong with today's generation #trendingnow #joerogan #rejectmodernity #woke,https://www.youtube.com/watch?v=Zzjj9Loll0o,callofSkepticism,https://www.youtube.com/channel/UCEdf0PMWehu6LqY_y4RquOQ,Available,1,"00:00:52","52"
1137,"2022-09-22 02:46:54.193","2022-09-22","02:46:54.193000",2022,9,22,2,3,Save the Doge 17,https://www.youtube.com/watch?v=_UL4rSljJ1Y,"","",Available,1,"00:00:11","11"
1138,"2022-09-22 02:46:28.626","2022-09-22","02:46:28.626000",2022,9,22,2,3,What its like to wrestle Khabib 😤,https://www.youtube.com/watch?v=6oW2RJP41Xw,ESPN MMA,https://www.youtube.com/channel/UCO4AcsPKEkIqDmbeiZLfd1A,Available,1,"00:00:23","23"
1139,"2022-09-22 02:45:31.766","2022-09-22","02:45:31.766000",2022,9,22,2,3,Joe Rogan gets roasted by buddy Bill Burr #shorts,https://www.youtube.com/watch?v=TZruGZtpOhk,JRE Arena ,https://www.youtube.com/channel/UCX8wrFJmvt6YEWALqtWsZXQ,Available,1,"00:00:56","56"
1140,"2022-09-22 02:44:35.502","2022-09-22","02:44:35.502000",2022,9,22,2,3,Joe Rogan caught his ex girlfriend cheating on him #joerogan #shorts,https://www.youtube.com/watch?v=ffdoiEPdFog,TricksyClips,https://www.youtube.com/channel/UCImWdGqyNF6iYGzuK1tNaMQ,Available,1,"00:00:55","55"
1141,"2022-09-22 02:43:53.052","2022-09-22","02:43:53.052000",2022,9,22,2,3,"Islam, will you fight Khabib?",https://www.youtube.com/watch?v=fLAQZRTGlPo,XcellentMMA Clips,https://www.youtube.com/channel/UCy6tTLd2-PKn2F-02VnUO1g,Available,1,"00:00:24","24"
